planet_name,koi_period,koi_duration,koi_depth,koi_prad,koi_srad,koi_model_snr,koi_impact,koi_steff,koi_slogg,koi_teq,koi_insol,koi_disposition
3973549,1.389947459,1.193,1213.8,3.39,0.95,136.4,0.437,5999.0,4.461,1665.0,1816.13,FALSE POSITIVE
3974928,127.671711,2.637,450.1,5.52,2.633,8.0,0.2999,4985.0,3.534,519.0,17.13,CANDIDATE
4058169,282.5363563,10.3088,29233.0,70.53,1.41,854.1,1.227,6401.0,4.175,360.0,3.98,FALSE POSITIVE
4063943,115.23145073,2.01,,,,,,,,,,CANDIDATE
4068391,289.490952,3.91,773.0,2.87,1.032,6.6,0.1458,5978.0,4.408,290.0,1.66,FALSE POSITIVE
4071638,349.58811,5.052,373.3,134.79,74.32,11.6,0.1899,3860.0,0.949,1351.0,787.87,CANDIDATE
5390913,1.680254289,12.585,51633.0,30.88,1.246,178.7,0.7314,6423.0,4.121,1996.0,3753.6,CANDIDATE
5391911,0.782068488,1.239,115.7,21.02,20.237,4.1,0.279,4475.0,2.113,6169.0,343029.57,FALSE POSITIVE
5394585,151.13008,3.49,358.0,4.41,2.302,4.6,0.0529,6768.0,3.844,578.0,26.4,CANDIDATE
5397106,440.65087204,4.07,,,,,,,,,,FALSE POSITIVE
5425643,258.63797782,7.11,,,,,,,,,,CANDIDATE
5425908,289.76961138,3.19,,,,,,,,,,FALSE POSITIVE
5428199,628.15844,12.144,502.3,0.95,0.423,14.7,0.2733,3697.0,4.829,101.0,0.03,CANDIDATE
5436415,273.223848,3.787,469.9,8.0,3.792,10.6,0.0763,5079.0,3.439,452.0,9.87,FALSE POSITIVE
6387887,0.650701055,0.89164,371060.0,281.62,3.701,234.3,0.4,10921.0,3.811,6285.0,370319.14,FALSE POSITIVE
6425377,263.90141,4.303,807.1,23.91,6.247,11.0,0.9585,5094.0,3.126,562.0,23.6,CANDIDATE
6428602,59.742966,6.78,284.9,16.91,7.322,8.6,0.9694,5059.0,2.871,1037.0,273.48,FALSE POSITIVE
6442735,18.7821603,5.573,77.2,0.83,0.94,9.8,0.1986,5919.0,4.488,681.0,50.97,CANDIDATE
6443093,389.316341,5.49,2599.8,27.61,0.958,34.7,1.202,5731.0,4.44,245.0,0.86,CANDIDATE
6447372,405.32064,7.77,561.7,1.34,0.574,6.2,0.2964,4694.0,4.68,166.0,0.18,FALSE POSITIVE
6461675,342.830882,3.826,450.7,10.76,5.205,12.0,0.0886,4994.0,2.92,530.0,18.68,FALSE POSITIVE
